ID,word
2,abandon
12,absolute
14,absorb
15,abstract
22,accent
24,acceptable
29,accidentally
30,accommodate
32,accompany
33,accomplish
41,accountant
44,accuracy
45,accurate
46,accurately
48,accuse
52,acid
53,acknowledge
54,acquire
60,activate
67,actual
71,adapt
74,addiction
76,additional
77,additionally
79,adequate
80,adequately
83,adjust
86,administration
93,adopt
96,advance
108,affair
112,affordable
117,afterwards
122,agency
123,agenda
126,aggressive
131,agriculture
134,aid
136,aids
139,aircraft
148,alien
167,alongside
170,alter
173,altogether
182,ambulance
188,amusing
192,analyst
193,ancestor
198,anger
199,angle
202,animation
204,anniversary
210,annual
211,annually
215,anticipate
216,anxiety
217,anxious
228,apology
231,apparent
232,apparently
233,appeal
241,applicant
248,approach
249,appropriate
250,appropriately
251,approval
252,approve
265,arise
267,armed
268,arms
277,arrow
281,artificial
283,artistic
284,artwork
287,ashamed
288,aside
291,aspect
300,assess
301,assessment
302,asset
303,assign
306,assistance
308,associate
309,associated
310,association
311,assume
312,assumption
314,assure
315,astonishing
322,attachment
325,attempt
335,auction
337,audio
346,automatic
347,automatically
357,awareness
360,awkward
368,bacteria
370,badge
376,balanced
378,ballet
379,balloon
388,barely
389,bargain
391,barrier
395,basement
397,basically
399,basket
402,bat
426,beg
433,being
445,beneficial
448,bent
449,beside
450,besides
452,bet
456,beyond
457,bias
459,bid
467,biological
476,bitter
480,blame
482,blanket
488,blind
500,bold
502,bombing
503,bond
507,booking
509,boost
522,bound
539,breast
544,brick
547,brief
548,briefly
552,broad
554,broadcast
555,broadcaster
556,broadly
566,budget
568,bug
572,bullet
573,bunch
581,bush
591,cabin
593,cable
596,calculate
606,canal
607,cancel
608,cancer
610,candle
615,capable
616,capacity
621,capture
623,carbon
640,cast
642,casual
653,cave
660,cell
669,certainty
670,certificate
673,chairman
675,challenging
678,championship
685,characteristic
690,charming
693,chase
698,cheek
699,cheer
707,chief
713,choir
715,chop
722,circuit
725,circumstance
726,cite
727,citizen
731,civil
733,civilization
735,clarify
739,classic
742,classify
748,clerk
752,cliff
756,clinic
758,clip
762,closely
783,coincidence
787,collapse
792,collector
796,colony
799,colourful
803,combination
807,comfort
809,comic
810,command
811,commander
818,commission
821,commitment
822,committee
825,commonly
833,comparative
853,completion
857,complicated
860,component
861,compose
862,composer
864,compound
865,comprehensive
866,comprise
868,compulsory
875,concentration
876,concept
878,concern
879,concerned
884,concrete
887,conduct
890,confess
892,confidence
898,conflict
903,confusing
904,confusion
913,conscious
919,consequently
920,conservation
921,conservative
924,considerable
925,considerably
926,consideration
929,consistent
930,consistently
932,conspiracy
933,constant
934,constantly
940,construct
941,construction
942,consult
943,consultant
947,consumption
952,contemporary
958,contest
964,contract
969,contribute
970,contribution
973,controversial
974,controversy
975,convenience
977,convention
978,conventional
981,convert
982,convey
986,convinced
987,convincing
998,cope
1002,core
1004,corporate
1005,corporation
1015,corridor
1024,council
1029,counter
1034,county
1037,courage
1043,coverage
1046,crack
1047,craft
1048,crash
1053,creation
1055,creativity
1057,creature
1062,crew
1065,crisis
1066,criterion
1067,critic
1068,critical
1069,critically
1070,criticism
1071,criticize
1073,crop
1078,crucial
1081,cruise
1085,cue
1092,cure
1094,curious
1099,curriculum
