ID,word,level,Keep
1,a,a1,T
2,abandon,b2,T
3,ability,a2,T
4,able,a2,T
5,abolish,c1,T
6,abortion,c1,T
7,about,a1,T
8,above,a1,T
9,abroad,a2,T
10,absence,c1,T
11,absent,c1,T
12,absolute,b2,T
13,absolutely,b1,T
14,absorb,b2,T
15,abstract,b2,T
16,absurd,c1,T
17,abundance,c1,T
18,abuse,c1,T
19,academic,b1,T
20,academy,c1,T
21,accelerate,c1,T
22,accent,b2,T
23,accept,a2,T
24,acceptable,b2,T
25,acceptance,c1,T
26,access,b1,T
27,accessible,c1,T
28,accident,a2,T
29,accidentally,b2,T
30,accommodate,b2,T
31,accommodation,b1,T
32,accompany,b2,T
33,accomplish,b2,T
34,accomplishment,c1,T
35,accordance,c1,T
36,according to,a2,T
37,accordingly,c1,T
38,account,b1,T
39,accountability,c1,T
40,accountable,c1,T
41,accountant,b2,T
42,accumulate,c1,T
43,accumulation,c1,T
44,accuracy,b2,T
45,accurate,b2,T
46,accurately,b2,T
47,accusation,c1,T
48,accuse,b2,T
49,accused,c1,T
50,achieve,a2,T
51,achievement,b1,T
52,acid,b2,T
53,acknowledge,b2,T
54,acquire,b2,T
55,acquisition,c1,T
56,acre,c1,T
57,across,a1,T
58,act,a2,T
59,action,a1,T
60,activate,b2,T
61,activation,c1,T
62,active,a2,T
63,activist,c1,T
64,activity,a1,T
65,actor,a1,T
66,actress,a1,T
67,actual,b2,T
68,actually,a2,T
69,acute,c1,T
70,ad,b1,T
71,adapt,b2,T
72,adaptation,c1,T
73,add,a1,T
74,addiction,b2,T
75,addition,b1,T
76,additional,b2,T
77,additionally,b2,T
78,address,a1,T
79,adequate,b2,T
80,adequately,b2,T
81,adhere,c1,T
82,adjacent,c1,T
83,adjust,b2,T
84,adjustment,c1,T
85,administer,c1,T
86,administration,b2,T
87,administrative,c1,T
88,administrator,c1,T
89,admire,b1,T
90,admission,c1,T
91,admit,b1,T
92,adolescent,c1,T
93,adopt,b2,T
94,adoption,c1,T
95,adult,a1,T
96,advance,b2,T
97,advanced,b1,T
98,advantage,a2,T
99,adventure,a2,T
100,adverse,c1,T
101,advertise,a2,T
102,advertisement,a2,T
103,advertising,a2,T
104,advice,a1,T
105,advise,b1,T
106,advocate,c1,T
107,aesthetic,c1,T
108,affair,b2,T
109,affect,a2,T
110,affection,c1,T
111,afford,b1,T
112,affordable,b2,T
113,afraid,a1,T
114,after,a1,T
115,aftermath,c1,T
116,afternoon,a1,T
117,afterwards,b2,T
118,again,a1,T
119,against,a2,T
120,age,a1,T
121,aged,b1,T
122,agency,b2,T
123,agenda,b2,T
124,agent,b1,T
125,aggression,c1,T
126,aggressive,b2,T
127,ago,a1,T
128,agree,a1,T
129,agreement,b1,T
130,agricultural,c1,T
131,agriculture,b2,T
132,ah,a2,T
133,ahead,b1,T
134,aid,b2,T
135,aide,c1,T
136,aids,b2,T
137,aim,b1,T
138,air,a1,T
139,aircraft,b2,T
140,airline,a2,T
141,airport,a1,T
142,alarm,b1,T
143,albeit,c1,T
144,album,b1,T
145,alcohol,b1,T
146,alcoholic,b1,T
147,alert,c1,T
148,alien,b2,T
149,align,c1,T
150,alignment,c1,T
151,alike,c1,T
152,alive,a2,T
153,all,a1,T
154,all right,a2,T
155,allegation,c1,T
156,allege,c1,T
157,allegedly,c1,T
158,alliance,c1,T
159,allocate,c1,T
160,allocation,c1,T
161,allow,a2,T
162,allowance,c1,T
163,ally,c1,T
164,almost,a2,T
165,alone,a2,T
166,along,a2,T
167,alongside,b2,T
168,already,a2,T
169,also,a1,T
170,alter,b2,T
171,alternative,a2,T
172,although,a2,T
173,altogether,b2,T
174,aluminium,c1,T
175,always,a1,T
176,amateur,c1,T
177,amazed,b1,T
178,amazing,a1,T
179,ambassador,c1,T
180,ambition,b1,T
181,ambitious,b1,T
182,ambulance,b2,T
183,amend,c1,T
184,amendment,c1,T
185,amid,c1,T
186,among,a2,T
187,amount,a2,T
188,amusing,b2,T
189,analogy,c1,T
190,analyse,b1,T
191,analysis,b1,T
192,analyst,b2,T
193,ancestor,b2,T
194,anchor,c1,T
195,ancient,a2,T
196,and,a1,T
197,angel,c1,T
198,anger,b2,T
199,angle,b2,T
200,angry,a1,T
201,animal,a1,T
202,animation,b2,T
203,ankle,a2,T
204,anniversary,b2,T
205,announce,b1,T
206,announcement,b1,T
207,annoy,b1,T
208,annoyed,b1,T
209,annoying,b1,T
210,annual,b2,T
211,annually,b2,T
212,anonymous,c1,T
213,another,a1,T
214,answer,a1,T
215,anticipate,b2,T
216,anxiety,b2,T
217,anxious,b2,T
218,any,a1,T
219,any more,a2,T
220,anybody,a2,T
221,anyone,a1,T
222,anything,a1,T
223,anyway,a2,T
224,anywhere,a2,T
225,apart,b1,T
226,apartment,a1,T
227,apologize,b1,T
228,apology,b2,T
229,app,a2,T
230,apparatus,c1,T
231,apparent,b2,T
232,apparently,b2,T
233,appeal,b2,T
234,appealing,c1,T
235,appear,a2,T
236,appearance,a2,T
237,appetite,c1,T
238,applaud,c1,T
239,apple,a1,T
240,applicable,c1,T
241,applicant,b2,T
242,application,b1,T
243,apply,a2,T
244,appoint,c1,T
245,appointment,b1,T
246,appreciate,b1,T
247,appreciation,c1,T
248,approach,b2,T
249,appropriate,b2,T
250,appropriately,b2,T
251,approval,b2,T
252,approve,b2,T
253,approximately,b1,T
254,april,a1,T
255,arbitrary,c1,T
256,architect,a2,T
257,architectural,c1,T
258,architecture,a2,T
259,archive,c1,T
260,area,a1,T
261,arena,c1,T
262,arguably,c1,T
263,argue,a2,T
264,argument,a2,T
265,arise,b2,T
266,arm,a1,T
267,armed,b2,T
